,X,name,status,region,city,funding_rounds,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,total_investment,market_type,diff_funding_year,status_label,total_investment_label,diff_funding_year_label,funding_rounds_label,seed_label,venture_label,total_investment_cde,diff_funding_year_cde,funding_rounds_cde,seed_cde,venture_cde
22362,12595,Yoomly,closed,SF Bay Area,San Mateo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,low,low,low,low,low,0,0,0,0,0
22363,11395,Toygaroo.com,closed,Los Angeles,Los Angeles,2,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,0,0.416666667,0,low,low,low,low,low,0,0,0,0,0
22364,1011,AutoRef.com,closed,Los Angeles,Santa Monica,2,875000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875000,1,0.75,0,low_medium,low,low,high,low,1,0,0,1,0
22365,6783,MessageGate,closed,Seattle,Bellevue,2,0,5.00E+06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600000,0,4.25,0,high_medium,high,low,low,medium,2,1,0,0,1
22366,2137,CheckInPage,closed,SF Bay Area,Palo Alto,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00E+05,0,0,0,low,low,low,low,low,0,0,0,0,0
22367,7807,One-Song,closed,New York City,New York,1,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0,0,low,low,low,low,low,0,0,0,0,0
22368,5937,KoalaDeal,closed,Chicago,Chicago,1,410000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410000,0,0,0,low_medium,low,low,high,low,1,0,0,1,0
22369,11630,Twonq,closed,SF Bay Area,San Francisco,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00E+05,1,0,0,low_medium,low,low,low,low,1,0,0,0,0
22370,9074,Rebel Monkey,closed,New York City,New York,1,0,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.00E+06,0,0,0,low_medium,low,low,low,low,1,0,0,0,0
22371,1430,Blade Games World,closed,Seattle,Bellevue,2,0,5426462,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5926462,0,0.583333333,0,high_medium,low,low,low,medium,2,0,0,0,1
22372,6265,Livekick,closed,New York City,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,low,low,low,low,low,0,0,0,0,0
22373,12190,Wantworthy,closed,New York City,New York,3,1018000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1018000,1,1.083333333,0,low_medium,low,high,high,low,1,0,1,1,0
22374,7911,Optify,closed,Seattle,Seattle,3,0,10849999,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19699999,1,3.75,0,high_medium,high,high,low,medium,2,1,1,0,1
22375,5253,InboxQ,closed,SF Bay Area,San Francisco,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0,low,low,low,low,low,0,0,0,0,0
22376,12652,Zango,closed,Seattle,Bellevue,2,0,4.00E+07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.00E+07,0,2.25,0,high,high,low,low,high,3,1,0,0,2
22377,4787,Hammerhead Systems,closed,SF Bay Area,Mountain View,2,0,4.80E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,9.60E+07,1,1.5,0,high,high,low,low,high,3,1,0,0,2
22378,4525,Gnodal,closed,SF Bay Area,Palo Alto,2,2190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2190000,1,1.25,0,low_medium,low,low,high,low,1,0,0,1,0
22379,2886,Cyto Wave Technologies,closed,SF Bay Area,San Francisco,1,0,965000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965000,1,0,0,low_medium,low,low,low,low,1,0,0,0,0
