"","name","status","region","city","funding_rounds","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","total_investment","market_type","diff_funding_year","status_label","total_investment_label","diff_funding_year_label","funding_rounds_label","seed_label","venture_label","total_investment_cde","diff_funding_year_cde","funding_rounds_cde","seed_cde","venture_cde"
"7489","Nexaweb Technologies","operating","Boston","Burlington",3,0,14603757,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,29207514,1,9.25,1,"high","high","high","low","high",3,1,1,0,2
"7490","NexDefense","operating","Atlanta","Atlanta",2,1100000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225000,0,1.66666666666667,1,"low_medium","high","low","high","low",1,1,0,1,0
"7491","Nexenta Systems","operating","SF Bay Area","Santa Clara",8,0,49860000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,94860000,1,3.5,1,"high","high","high","low","high",3,1,1,0,2
"7492","Nexgate","acquired","SF Bay Area","Burlingame",4,500000,3500000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7800000,0,1.75,2,"high_medium","high","high","high","medium",2,1,1,1,1
"7493","Nexidia","operating","Atlanta","Atlanta",5,0,38982526,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63268814,1,6.08333333333333,1,"high","high","high","low","high",3,1,1,0,2
"7494","Nexis Vision","operating","SF Bay Area","Menlo Park",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6750000,1,2.33333333333333,1,"high_medium","high","low","low","low",2,1,0,0,0
"7495","Next Big Sound","operating","New York City","New York",4,1000000,6949997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14449997,0,2.33333333333333,1,"high_medium","high","high","high","medium",2,1,1,1,1
"7496","Next Jump","operating","New York City","New York",4,0,4.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5e+07,0,8,1,"high","high","high","low","high",3,1,1,0,2
"7497","Next New Networks","acquired","New York City","New York",4,0,26063781,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,53127562,1,3.91666666666667,2,"high","high","high","low","high",3,1,1,0,2
"7498","Next One's On Me (NOOM)","operating","Austin","Austin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7499","Next Step Living","operating","Boston","Boston",9,0,52230000,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,107518268,1,5.16666666666667,1,"high","high","high","low","high",3,1,1,0,2
"7500","Next Tier Education","operating","Chicago","Chicago",1,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200000,0,0,1,"low_medium","low","low","low","low",1,0,0,0,0
"7501","Nextance","operating","Austin","Austin",1,0,10100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20200000,1,0,1,"high_medium","low","low","low","medium",2,0,0,0,1
"7502","NextBio","operating","SF Bay Area","Santa Clara",3,0,16100000,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,32200000,1,4.66666666666667,1,"high","high","high","low","high",3,1,1,0,2
"7503","Nextbit Systems","operating","SF Bay Area","San Francisco",1,0,1.8e+07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.6e+07,1,0,1,"high","low","low","low","high",3,0,0,0,2
"7504","NextCapital","operating","Chicago","Chicago",1,0,6300000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12600000,0,0,1,"high_medium","low","low","low","medium",2,0,0,0,1
